Name;Number of tweets;;;Number of tweets;Number of persons who have tweeted this many times
@AGoldsmithEsq;2;;;;
@ALionsR04R;2;;;;
@AP;2;;;;
@ATT;2;;;;
@Acosta;2;;;;
@AdorablePodcast;2;;;;
@AlanMyron;2;;;;
@AlbaneseJoe;2;;;;
@AlboMP;2;;;;
@Alex_on_A14;2;;;;
@AlexpiersonAMP;2;;;;
@AnaAslan1897;2;;;;
@AndrewDyke11;2;;;;
@AndryGiles;2;;;;
@AndyMac84956921;2;;;;
@Anna98831;2;;;;
@AusTodayListnr;2;;;;
@AustinoCadence;2;;;;
@Ayandi07684809;2;;;;
@BPeske;2;;;;
@BTS_twt;2;;;;
@Back_dafucup;2;;;;
@Badams820;2;;;;
@BayNootParfait;2;;;;
@BeLikeWahter;2;;;;
@BichonAtLaw;2;;;;
@BlancheKnox5;2;;;;
@Blockworks_;2;;;;
@BlueStarCaptain;2;;;;
@Blueishparadigm;2;;;;
@BobANDE42235496;2;;;;
@Boballard13;2;;;;
@Bodhi2022;2;;;;
@BodhisattvaKat;2;;;;
@BradSchrag;2;;;;
@BrandonDavisBD;2;;;;
@BrazilInst;2;;;;
@BrazilInst’s;2;;;;
@BrockKrause;2;;;;
@Buddhiststeak;2;;;;
@CAgovernor;2;;;;
@CBS12;2;;;;
@CBears74;2;;;;
@CDCgov;2;;;;
@CGrift;2;;;;
@CMikeSF;2;;;;
@CNBC;2;;;;
@Captbobdad;2;;;;
@Casey8590;2;;;;
@CattleBreeders;2;;;;
@ChrisPBacin;2;;;;
@CindisPLace;2;;;;
@CleeseRaymond;2;;;;
@Climate24877412;2;;;;
@ClimateCatastr3;2;;;;
@ClimateCrisis;2;;;;
@ClimateDad77;2;;;;
@ClimateOfGavin;2;;;;
@CodingEtudes;2;;;;
@ConceptualJames;2;;;;
@CoralBlob;2;;;;
@Cudagras;2;;;;
@CurnowBronwyn;2;;;;
@DCGreenZone1;2;;;;
@DamienGranz;2;;;;
@DanPatrick;2;;;;
@DaveOx13;2;;;;
@DavidJSla;2;;;;
@Davidtrinder5;2;;;;
@DiMartinoBooth;2;;;;
@Donosthenes;2;;;;
@DrEricDing;2;;;;
@DrManax;2;;;;
@Dragofix;2;;;;
@ECOWARRIORSS;2;;;;
@EDavidAn;2;;;;
@ERCOT_ISO;2;;;;
@EatSleepCruise;2;;;;
@Einarr906;2;;;;
@EliApple;2;;;;
@EnrelChi;2;;;;
@EricTopol;2;;;;
@ErrantVigilante;2;;;;
@Eshzfn;2;;;;
@EstesPga;2;;;;
@ExtinctionR;2;;;;
@Ezquid;2;;;;
@FDRLST;2;;;;
@Flattielover;2;;;;
@ForTheirVoice;2;;;;
@FrankDElia7;2;;;;
@Fridays4future;2;;;;
@GHGGuru;2;;;;
@GOP;2;;;;
@Gab031996;2;;;;
@GangstaMimi;2;;;;
@Gems4Kimber;2;;;;
@GeoffMiami;2;;;;
@GhostOfLuv3;2;;;;
@Ginger_Zee;2;;;;
@GovAbbott;2;;;;
@GovKathyHochul;2;;;;
@GovMurphy;2;;;;
@GovernorVA;2;;;;
@Greenpeace;2;;;;
@GregAbbott_TX;2;;;;
@Grimnien;2;;;;
@Gritty20202;2;;;;
@Grumpyme4;2;;;;
@HALcruises;2;;;;
@Hold2LLC;2;;;;
@HoundTheLibs;2;;;;
@HouseGOP;2;;;;
@HowardWorf;2;;;;
@ITVNewsPolitics;2;;;;
@IanHugh07940666;2;;;;
@IceAge2150;2;;;;
@IcnirpMick;2;;;;
@IdunsDaughter;2;;;;
@ImVeeMk;2;;;;
@IndiaWeatherMan;2;;;;
@ItsZaeOk;2;;;;
@JDNEngland;2;;;;
@JGainsbourgh;2;;;;
@JKash000;2;;;;
@JNFUSA;2;;;;
@JSmiffey;2;;;;
@JawKneeFaiv;2;;;;
@Jaxzon2008;2;;;;
@JenCages;2;;;;
@Jennie_SC1;2;;;;
@JerryCann1;2;;;;
@Jerusalem_Post;2;;;;
@JimTheSSR;2;;;;
@JingoHigh;2;;;;
@JoeVogel_;2;;;;
"@JohnCornyn""";2;;;;
@JohnWDean;2;;;;
@Jonnyporkchop;2;;;;
@JsharkJill;2;;;;
@JujuliaGrace;2;;;;
@JulianneLimaTV;2;;;;
@JustPlaying2Win;2;;;;
@JustinCPorter;2;;;;
@JustinMikulka;2;;;;
@KalliopiNikita;2;;;;
@Kathmarval;2;;;;
@KathrynTewson;2;;;;
@Keir_Starmer;2;;;;
@KierstenWarren;2;;;;
@KikiAdine;2;;;;
@KimberlyMcKeeve;2;;;;
@Kolyin;2;;;;
@Kraven_Raven24;2;;;;
@LTrader25;2;;;;
@LaurieSpoon;2;;;;
@LiamKav;2;;;;
@LiberalAus;2;;;;
@LisaMarieBoothe;2;;;;
@Lissthesassy;2;;;;
@LoCoSiEmPrE;2;;;;
@LouisCy72344053;2;;;;
@LoyalRo29280019;2;;;;
@LuciaRendn4;2;;;;
@Lucian_DP;2;;;;
@Lungah___;2;;;;
@MLedaloo;2;;;;
@MSNBC;2;;;;
@MajorFactor2;2;;;;
@Malibujammin;2;;;;
@MaliniP;2;;;;
@MarionMartin199;2;;;;
@MarkTho29550016;2;;;;
@MartinBrampton;2;;;;
@Martina;2;;;;
@MassachusettsWx;2;;;;
@MattHancock;2;;;;
@MayorofLondon;2;;;;
@McFaul;2;;;;
@Mchael21592783M;2;;;;
@MeaganPhelan;2;;;;
@MeredithFrost;2;;;;
@MickusDickus;2;;;;
@Militant_Gnomes;2;;;;
@MishMei;2;;;;
@MsBlaireWhite;2;;;;
@NATO;2;;;;
@NReveillee;2;;;;
@NYFan1986;2;;;;
@Neilyoung;2;;;;
@Never_Sur_ender;2;;;;
@News12LI;2;;;;
@NickFerrariLBC;2;;;;
@NickKristof;2;;;;
@NorthmanTrader;2;;;;
@OblivionVortex;2;;;;
@OffGridTech_net;2;;;;
@OldGrump9;2;;;;
@OldManGenius;2;;;;
@OmairaGill;2;;;;
@Opinionfluid;2;;;;
@PUCTX;2;;;;
@PacAussie;2;;;;
@Patrici46824123;2;;;;
@PatsKarvelas;2;;;;
@Patti64715066;2;;;;
@Paul204731131;2;;;;
@PegaxyOfficial;2;;;;
@PierrePoilievre;2;;;;
@Q_Estrada;2;;;;
@RMaioris;2;;;;
@Rachael712A;2;;;;
@RealDoctorT;2;;;;
@RealGene;2;;;;
@RedloraineV;2;;;;
@Refugees;2;;;;
@RenfieldThomas;2;;;;
@RepAnnaEshoo;2;;;;
@RepDanCrenshaw;2;;;;
@RepJayapal;2;;;;
@RepSpeier;2;;;;
@RepublicanRehab;2;;;;
@Reuters;2;;;;
@Rhonda52807071;2;;;;
@RichardGrenell;2;;;;
@Richard_L_100;2;;;;
@RlalbrechtTroy;2;;;;
@RobSchneider;2;;;;
@RobertRayWx;2;;;;
@RobfromMO;2;;;;
@RollingStone;2;;;;
@RonFilipkowski;2;;;;
@RonniSalt;2;;;;
@Royalacresrod;2;;;;
@RustyAway;2;;;;
@SBNation;2;;;;
@SZOMB;2;;;;
@SaltyCiniMinis;2;;;;
@SandraNotSandy1;2;;;;
@ScarBrainz;2;;;;
@Schwarzenegger;2;;;;
@ScienceJustWins;2;;;;
@SenSanders;2;;;;
@SenateDems;2;;;;
@Seynie;2;;;;
@ShellyRKirchoff;2;;;;
@Simba_JB1969;2;;;;
@Sinner_Lilith;2;;;;
@SoyBoyRoy1;2;;;;
@SpeakerPelosi;2;;;;
@SpookyJay36;2;;;;
@SpoonOfZeke;2;;;;
@SquadThen;2;;;;
@SteveNegusMasr;2;;;;
@StirredCrazy;2;;;;
@StrokeyStratfo1;2;;;;
@SumatraSue;2;;;;
@TWCAlexWilson;2;;;;
@TWCChrisBruin;2;;;;
@TakethatCt;2;;;;
@TalWilkins;2;;;;
@Tam_Resist;2;;;;
@TamePunk;2;;;;
@Tbull426;2;;;;
@TexasGOP;2;;;;
@TheAtlantic;2;;;;
@TheDailyShow;2;;;;
@TheLegalBrain1;2;;;;
@TheRealPengod;2;;;;
@TheWilsonCenter’s;2;;;;
@The_Doctor_Why;2;;;;
@The_Real_Feisty;2;;;;
@Theon_Orbis;2;;;;
@Timcast;2;;;;
@ToTheLifeboats;2;;;;
@TobyRayEnglish;2;;;;
@TonyBrunoShow;2;;;;
@Top_Muppetries;2;;;;
@TorontoStar;2;;;;
@TrashcanTake;2;;;;
@Traveler3906;2;;;;
@TroyCross24;2;;;;
@TruBluRayne;2;;;;
@Trying2Focus;2;;;;
@TuckerCarlson;2;;;;
@TyotoRiffle;2;;;;
@UHDreviews;2;;;;
@UNDP;2;;;;
@UNEP;2;;;;
@USCIS;2;;;;
