Column1	Column2
@thos59,	3
@tomtomorrow,	3
@vonderleyen,	3
@yfreemark,	3
@yolalindayola,	3
@zazzybritches,	3
@1Mirror1978,	2
@1crzydg,	2
@1dlostchild,	2
@200_zoka,	2
@47angb,	2
@ABQSunport,	2
@ADirtyRottenDog,	2
@AJenkinsBrother,	2
@AUThackeray,	2
@AdamRogers2030,	2
@Adhav_Akshay1,	2
@AdvoBarryRoux,	2
@AfarWatch,	2
@AlexMartiniuk,	2
@AlexandriaV2005,	2
@AlgodTrading,	2
@Alli47066096,	2
@AllisonPearson,	2
@AndrewYang,	2
@AndyKimNJ,	2
@AndyRush5,	2
@AngieTrianta,	2
@AnimalInMan69,	2
@AnnCoulter,	2
@AnnaCaudill4,	2
@AnnaVic88472217,	2
@Antonio_ott1961,	2
@ArchaicNonsense,	2
@Areathex1,	2
@Aron_Ra,	2
@AubreyGilleran,	2
@AusTodayListnr,	2
@BBCJustinR,	2
@B_kimono,	2
@BeanJalapeno,	2
@BelindasHandbag,	2
@BernieSanders,	2
@BidensWins,	2
@BillGates,	2
@Blackmanthinkin,	2
@BonJS0370,	2
@BonnieBlackmor7,	2
@BournePoly11,	2
@BrexitBassist,	2
@BrianNazarenus,	2
@Brian_misiati,	2
@Brobeckone,	2
@BruinJustine,	2
@CAHutch1990,	2
@CAKitchener,	2
@CBCNews,	2
@CPCnashville,	2
@CSDevNet1,	2
@CalltoActivism,	2
@Canadianworker2,	2
@CellMessenger,	2
@ChadPergram,	2
@Chowdershark11,	2
@ChristIsComing5,	2
@ChristinaPykles,	2
@Chubalus16,	2
@ChuckCallesto,	2
@ClimateChangeC_,	2
@ClimateEnvoy,	2
@ClimateRealist,	2
@ClimateSkeptic4,	2
@CodornicesPark,	2
@CohenBcohen,	2
@Conservativeph6,	2
@CopernicusEU,	2
@CoralBlob,	2
@CorkySwift2,	2
@CovidMarshall,	2
@CrackerJax123,	2
@CreasonJana,	2
@Cris_Paunescu,	2
@DDGray12,	2
@DJMorpheus2007,	2
@DPCassidyTKC,	2
@Dandisk89765,	2
@DashDobrofsky,	2
@David4677484957,	2
@DavidAFrench,	2
@DavidBellamyUK,	2
@DeItaone,	2
@Deb0dw,	2
@Deez60732794,	2
@Degentraland,	2
@Desole_de_dire,	2
@DigbyPink,	2
@Digivolvar,	2
@DocDeezWhat,	2
@DominiqueTaegon,	2
@DoombergT,	2
@DrCEdmondson,	2
@DrCurtisFreeman,	2
@DrFrankTurek,	2
@DrJenGunter,	2
@DrunkleZOV,	2
@ECOWARRIORSS,	2
@EDavidAn,	2
@EIAgov,	2
@EUClimateAction,	2
@EU_Commission,	2
@EVELYNLOMAX3,	2
@EamonRyan,	2
@Earth_Uprising,	2
@EdCarden,	2
@EdenFisher,	2
@EeroWallenius,	2
@EkeleJiata,	2
@ElGrecoAnglos,	2
@EmekaOkoye,	2
@Energy4Europe,	2
@EngineMode11,	2
@EricBoehm87,	2
@Erica6479,	2
@Eskom_SA,	2
@EssEff76,	2
@Europarl_EN,	2
@Europe2022FR,	2
@F1,	2
@FBI,	2
@FallRiseand,	2
@FinancialTimes,	2
@FiveTimesAugust,	2
@Foniks,	2
@Franco_itly2,	2
@Fridays4future,	2
@GOPChairwoman,	2
@GailCoastie,	2
@Galcondude,	2
@Galkiewiczowa,	2
@GaryLineker,	2
@GenshinImpact,	2
@Giddeeupgo,	2
@GlennCarr6,	2
@GovBillLee,	2
@GraceinVeritas,	2
@GrahamAllen_1,	2
@Grumpyme4,	2
@GuntherEagleman,	2
@HAsl05766677,	2
@HG54,	2
@HHelenakhl,	2
@HMOIndia,	2
@Hakimi09966557,	2
@Hakimi82421476,	2
@Hazbeen66,	2
@HeinemannLab,	2
@HillaryClinton,	2
@IAPonomarenko,	2
@IQ15991967,	2
@IVPATXX,	2
@IgorKrein,	2
@Ilhan,	2
@IngrahamAngle,	2
@Iromg,	2
@Isabell17267660,	2
@JRubinBlogger,	2
@JamesJo76415286,	2
@JamesMelville,	2
@JanetteMattey,	2
@Jdot7201,	2
@Jeffrey75327765,	2
@Jennaacarey,	2
@Jikkyleaks,	2
@JimGennaro,	2
@JimWatsonOttawa,	2
@Jim_Jordan,	2
@JoeBlob20,	2
@JohnCornyn,	2
@JohnKerry,	2
@JohnWReevesIII,	2
@JohnWay06621698,	2
@JonahIvriAnochi,	2
@JoyAnnReid,	2
@JoyceWhiteVance,	2
@JustSayXtian,	2
@KCTaz,	2
@KTRTRS,	2
@KarlTheFog,	2
@Kerri_44,	2
@KevinKevinmtai,	2
@KimSJ,	2
@KiraOnClimate,	2
@Kuntrella,	2
@KwasiKwarteng,	2
@KyleKulinski,	2
@LAMStandley,	2
@LakeSuperior,	2
@LakotaMan1,	2
@LesStonehouse,	2
@Lexi71412290,	2
@LiamPayne,	2
@LibertariansDP,	2
@LicypriyaK,	2
@LionHirth,	2
@LizWebsterLD,	2
@LucasFoxNews,	2
@MCRobredz,	2
@MGermaine6,	2
@MLoParis,	2
@MODIfiedVikas,	2
@MRGenZ07,	2
@MTheUShah,	2
@MWhalen1907,	2
@MairScott3,	2
@Malagraves,	2
@MalcolmNance,	2
@MarkNew,	2
@MarsCuriosity,	2
@MarshallCd,	2
@Mazza6069,	2
@MdBreathe,	2
@MedBennett,	2
@MidoriOshii,	2
@MikeMarchant29,	2
@Mike_Pence,	2
@MikeyAdams420,	2
@Miriam_Grossman,	2
@MissouriDave1,	2
@ModestyQueen19,	2
@MoonCrow11,	2
@Myles_Bee_Art,	2
@MystNeedsRental,	2
@N3S73,	2
@NCC_CCN,	2
@NKippur,	2
@NYCMayor,	2
@NYCMayorsOffice,	2
@NYDailyNews,	2
@NYMag,	2
@Napa_Patriot,	2
@NatBullard,	2
@News12,	2
@NicholasFerroni,	2
@NicolaSturgeon,	2
@NoLieWithBTC,	2
@NornQueenAlexis,	2
@Not_Dreamless,	2
@OEVAorg,	2
@OccamsPhi,	2
@OfficeofUT,	2
@Oilfield_Rando,	2
@OmarAlghabra,	2
@P3ng1z,	2
"@PMOIndia"","	2
@PakPMO,	2
@Pakeha56,	2
@PalDoesNotExist,	2
@PalmerReport,	2
@PattyMurray,	2
@PeaceOneDay,	2
@Pellegrinoadict,	2
@PenguinOfEurope,	2
@Pentosh1,	2
@PepperWingate,	2
@Persian70509610,	2
@Pete4America,	2
@PeterAlexander,	2
@Pink,	2
@PiqueNews,	2
@PlainSpeakingUK,	2
@PokeGreens,	2
@PolinaPomorenko,	2
@PriaN77530659,	2
@PrisonPlanet,	2
@RANDOMFACTS2022,	2
@RHarrabin,	2
@RRB05871793,	2
@RabbiHananiah,	2
@Rainmaker1973,	2
@RealPaigeWWE,	2
@RealStoveAdams,	2
@RespectfulMemes,	2
@ReverendWarnock,	2
@RhondaScIsMe,	2
@RichwoodsAus,	2
@RickLazzarini,	2
@RishiSunak,	2
@RoadknightThe,	2
@Rob_Kimbell,	2
@RobertCawood2,	2
@RobertH92267444,	2
@Robertbigbags,	2
@Roger_Xanth_Day,	2
@Ronisonit,	2
@RubinReport,	2
@RuleByLogic,	2
@RussiaUN,	2
@RyanMaue,	2
@S4XY21,	2
@SCOTUS,	2
@SPURS82est,	2
@SZOMB,	2
@Sam04924593,	2
@Samurai100469,	2
@SandybeachPD,	2
@Sdg13Un,	2
@SebGorka,	2
@SenMarkey,	2
@SenWhitehouse,	2
@Sen_JoeManchin,	2
@ShaddamEmperor,	2
@SiHartley3,	2
@SimonEvett,	2
@Sintamyr,	2
@SkepticSplinter,	2
@SkepticsOf,	2
@Sonolum,	2
@SpeakerPelosi,	2
@Starbucks,	2
@StephanieAbrams,	2
@SteveCuriousity,	2
@Steve_Lyons_,	2
@SullyCNBC,	2
@SusanChubb1,	2
@T_Extinguishers,	2
@TangChildren,	2
@ThanMuffin,	2
@TheFreds,	2
@TheHillOpinion,	2
@TheMcVariations,	2
@TheTeslaLife,	2
@TheTweetOfGod,	2
@TheUndefeated17,	2
@The_FJC,	2
@The_Nah1991,	2
@ThomasCatenacci,	2
@TimMcPhieEU,	2
@ToddisOK,	2
@TomCottonAR,	2
@TomTiffanyWI,	2
@TopRantKing,	2
@TradReform,	2
@Trending_Now0,	2
@TruthVulgarians,	2
@Twattertale,	2
@TweetArgue,	2
@TyotoRiffle,	2
@UNEP,	2
@UN_PGA,	2
@USNA_73,	2
@USSupremeCourt,	2
@VanJaxn,	2
@VesperUK,	2
@VitalikButerin,	2
@WSJ,	2
@Wagoneer,	2
@WarnerBrosUrban,	2
@WendellHusebo,	2
@WetlandWalker,	2
@WholeMarsBlog,	2
@WindFmAnalytics,	2
@WinzerHastle,	2
@WoopsWoah,	2
@YR72390,	2
@YTGGFI,	2
@Zakilline,	2
@ZaleskiLuke,	2
@ZeeshanAleem,	2
@__CNairobian1,	2
@_unisophia,	2
@accuweather,	2
@adrianakirk33,	2
@af9d95190eca4c3,	2
@afitzatca,	2
@akaelwopo1,	2
@albinofirebird,	2
@alexstein99,	2
@alfaqfour,	2
@allaneddy10,	2
@allnewyorknews,	2
@andrewmichta,	2
@askwhymoreoften,	2
@avpn_asia,	2
@backtolife_2022,	2
@barnes_law,	2
@bchelsea48,	2
@benadida,	2
@billmaher,	2
@billmckibben,	2
@blackintheempir,	2
@bluenamicomin,	2
@brandonjohnsmi4,	2
@brisbane_dave,	2
@brithume,	2
@bunnydelphine,	2
@business,	2
@c3franklintn,	2
@cabalbuster2022,	2
@carloshasanax,	2
@catherine___c,	2
@ceidotorg,	2
@charliekirk11,	2
@chuckblackburn,	2
@citizensmith996,	2
@clinicalcr7,	2
@cryppytoes,	2
@daniellecanyell,	2
@dave_odo,	2
@dazm229,	2
@ddofinternet,	2
@deahcory,	2
@dean_hatchy,	2
@depressedappa,	2
@derivative4202,	2
@dirk_fasshauer,	2
@dlsmith0817,	2
@donnieofthedead,	2
"@dpradhanbjp"","	2
@duggee6,	2
@dwjackson48,	2
@earthuprisingke,	2
@eastmidsrambler,	2
@elaine26459022,	2
@elenyaart,	2
@emkaysees,	2
@engineers_feed,	2
@eperea,	2
@eric_flesch,	2
@existaint,	2
@eyejosh,	2
@fergustp,	2
@fern_60,	2
@fitay59,	2
@fleetstreetfox,	2
@flynnc15,	2
@gabrielmalor,	2
@gelfstein,	2
@gjcats,	2
@goggleman21,	2
@grantkessel8,	2
@groth1945,	2
@grpapamark,	2
@himself271,	2
@huggies7th,	2
@hugolowell,	2
@humansilk,	2
@iamdanalbino,	2
@iamtheonexo,	2
@impinkestgirl,	2
@initiative_Insp,	2
@isthisit,	2
@itscollmc,	2
@itshamish,	2
@japaneseinhale,	2
@jazzwind,	2
@jeffstrabone,	2
@jensstoltenberg,	2
@jerezana0902,	2
@jkbibliophile,	2
@jneill,	2
@john_c0nner,	2
@jon45444945,	2
@joncstone,	2
@jonesville,	2
@justinschuh,	2
@kdnerak33,	2
@keithamccluskey,	2
@kejjae,	2
@kkdumez,	2
@kod35se,	2
@krystalball,	2
@kyledhamilton_,	2
@lavern_spicer,	2
@layon_overwhale,	2
@lemonboyhope,	2
@liberal_party,	2
@llanier67,	2
@logicaldebate,	2
@lynnesandgate,	2
@madbeatboy,	2
@manifesto2000,	2
@maqart55,	2
@markhumphries,	2
@markiplier,	2
@mattyglesias,	2
@mika_edmondson,	2
@mitsyarty,	2
@mjs_DC,	2
@mogrant61,	2
@moneyacademyKE,	2
@morningireland,	2
@mulberrytoot,	2
@newsmax,	2
@ninaturner,	2
@ninjarigging27,	2
@noturbine,	2
@nycjayjay,	2
@nyunggai,	2
@ogbify2103,	2
@omnialmighty,	2
@onlmaps,	2
@ottawacity,	2
@paulsperfect,	2
@paulturner2012,	2
@peskydot,	2
@physorg_com,	2
@pillowtalkzliam,	2
@pip_reaper,	2
@pnjaban,	2
@porridgeisgood,	2
@preston_shipp,	2
@punishedkimbo,	2
@pwrhungry,	2
@reems84,	2
@reesetheone1,	2
@rln_nelson,	2
@roomsfornature,	2
@sama,	2
@santiagomayer_,	2
@schmangee,	2
@scottsauls,	2
@screenstarr,	2
@seanmdav,	2
@secupp,	2
@sellieyoung,	2
@shicks_sam,	2
@sir19631,	2
@smhlost,	2
@soc_justice1,	2
@sovereignofkent,	2
@spincity615,	2
@staceyabrams,	2
@stonesister7,	2
@structuralecon,	2
@stscholasticas,	2
@summerbreeze712,	2
@svdate,	2
@swcrisis,	2
@tanyakanrl,	2
@terencedescham1,	2
@th1rt3en_TM,	2
@thatatheistblog,	2
@theCCCuk,	2
@theadigogate,	2
@theheraldsun,	2
@thesiriusreport,	2
@thetimes,	2
@thinks_about_it,	2
@thisgirlcoco,	2
@thomas_ley,	2
@thunderbrd1,	2
@timauten1,	2
@timothy_gumm,	2
@ttyEngland,	2
@turtlecoal,	2
@twomad,	2
@vaato5455,	2
@wajjjjey,	2
@wanstead_meteo,	2
@whiskeyandspite,	2
@wildauburnrebel,	2
@windaction,	2
@wiseduck2,	2
@wlbeeton,	2
@wolfhaley,	2
@wordwhisperer,	2
@xTrashWitchx666,	2
@xenoseimi,	2
@xr_cambridge,	2
@#Elmau,	1
@054durin,	1
@0XJJ0,	1
@0xWhiteLotus,	1
@10100011011x_0,	1
@10MMStronger,	1
@10NewsFirstSyd,	1
@10kClimate,	1
@111meeuwis,	1
@125LolaLola,	1
@12moreboosters,	1
@1738FrFr,	1
@1968PLW3,	1
@1985_wheeler,	1
@1GDAC,	1
@1KnowWhatUDont,	1
@1NewsNZ,	1
@1Nicdar,	1
@1RayJ2,	1
@1fr33dom,	1
@1frazzled1,	1
@1goodtern,	1
@1pckt,	1
@1us45,	1
@2022_jg,	1
@206Frosty,	1
