Column1;Column2;;Number of tweets;Number of persons who have tweeted this many times
@Cheguevoblin;1;;;
@Chennyyyy9;1;;;
@Chief_sFriend;1;;;
@ChildFreeBC;1;;;
@Chirasha20222;1;;;
@Chr1s_not_a_bot;3;;;
@Chris96856963;1;;;
@ChrisBBacon3;7;;;
@ChrisB_Chambers;1;;;
@Chrisdebois1;1;;;
@ChristinaPushaw;1;;;
@CilComLFC;1;;;
@CitadelAir;1;;;
@CitizenFreePres;11;;;
@CivilLost;1;;;
@Cladonal;1;;;
@ClaireChenu2;1;;;
@ClaireKraatz;1;;;
@ClarissaSomeone;1;;;
@ClarryKitten;1;;;
@ClimateBen;23;;;
@ClimateCrisis;3;;;
@ClimateDad77;1;;;
@ClimateDepot;3;;;
@ClimateHuman;2;;;
@ClimateRealists;4;;;
@ClimateReality;3;;;
@ClimateSkeptic4;9;;;
@Climate_Takes;1;;;
@Climatehope2;1;;;
@Climaterra;1;;;
@CliveScott18;1;;;
@CloverMoore;1;;;
@ClownWorld_;3;;;
@CoJayLives;2;;;
@CoaltrainHunter;1;;;
@CobraTate;1;;;
@CobraTateIl;1;;;
"@Cobratate""";1;;;
@Cobratate;111;;;
"@Cobratate.""";1;;;
@Cobratate.;1;;;
@CocaCola;1;;;
@CodeRedEarth;1;;;
@Colel5;1;;;
@ColinJBettles;2;;;
@CollegeFix;2;;;
@CollinRugg;4;;;
@ColorsTV;1;;;
@ComicDaveSmith;1;;;
@CommandoOf;1;;;
@ComradeFat;2;;;
@ConceptualJames;1;;;
@ConnorJHoltkamp;1;;;
@ConradMBlack;1;;;
@Conservatives;2;;;
@ConsumersEnergy;1;;;
@CordovaPericles;1;;;
@CoryYarbrough33;1;;;
@CrazyEarthLover;1;;;
@CringeLeft;1;;;
@CrispyCX;1;;;
@CrocFuecoco;3;;;
@CrozzDogReal;1;;;
@CryptoModelTMax;1;;;
@CryptoPlainview;1;;;
@CuddlyMcCuddles;1;;;
@CyberSamurai42;1;;;
@CyrillSchmid;1;;;
@D66;1;;;
@DALupton;1;;;
@DARPA;3;;;
@DCBMEP;2;;;
@DC_Draino;1;;;
@DCtMonteCrypto;1;;;
@DDayCobra;2;;;
@DDingleson;1;;;
@DHartung13;1;;;
@DJSnM;2;;;
@DK_Able;1;;;
@DLatarche;2;;;
@DNC;1;;;
@DNCgta;1;;;
@DP24ss;1;;;
@DPJHodges;1;;;
@DPat310;1;;;
@DRAWtheREDline;1;;;
@DShox1;1;;;
@DaBoom66;1;;;
@DailyCaller;1;;;
@DailyLoud;1;;;
