Date,User,Tweet
2022-09-30 23:41:17+00:00,TruthJusticeAz,"@jellen805 “The Russia/Ukraine catastrophe” - like its some kind of natural disaster?

Putin can retreat from Ukraine at any time and end the war.

The Ukrainians have made their position clear. And *most* of us agree with that - only Putin bootlickers side with an army of rapists."
2022-09-30 23:40:50+00:00,BumperCarJoe,@Susan38985738 @awbraxtonjr That is simply NOT true… And the Democratic party of today IS NOT what it was in the 80s snd 90s. Please don’t mske a natural disaster a bipartisan issue. Like your news anchors blaming climate change! Its a NATURAL DISASTER. And tbh im not defending Rep either. Just Trump!
2022-09-30 23:40:49+00:00,DumbFacts5,did you know that global warming all come to an end
2022-09-30 23:39:44+00:00,TheAKirschProj,"@wfcollins @MsBlaireWhite Then stop wearing seatbelts, eat tide pods, speed, drive under the influence, dont accept Federal Aid in the middle of a natural disaster, don't take social security, and go live out in the woods or some place desolate so the government can't harm you."
2022-09-30 23:39:33+00:00,cmhughesmd,"@JoyceWhiteVance They know the Dems will do the right thing so they can bloviate. Infrastructure, disaster relief, global warming. We'll do the right thing, they'll have it both ways. Always."
2022-09-30 23:39:02+00:00,RA8ZtsnkxavPifD,"At the academic conference, Dr. Adams of the XYZ Institute attributed changes in the climate to global warming and pollution of the atmosphere."
2022-09-30 23:38:59+00:00,pharminfotech,@2witterbird @TVNZ I have heard hurricane Ian called out by media and POTUS as the worst natural disaster in the USA for decades. Have they forgotten about Katrina ? Over 1000 fatalities in Louisiana and 14 in Florida in 2005.
2022-09-30 23:38:47+00:00,markman090,"@CTVNews now they are blaming global warming for making covid bad? LOL, these folks aren't even trying to hide it now"
2022-09-30 23:37:55+00:00,Sc0rPs_X,"@TeamPelosi Just quit, the lot of you will never help the people. Trillions on defense but any pandemic or natural disaster will cause massive devastation &amp; death. Oh, thanks for going around increasing tensions around the world..."
2022-09-30 23:37:50+00:00,BoeBoeDHoe,"@ksorbs @ksorbs …you could have just made the donation to survivors of Ian, do your good deed and not tweet about it. Just be a good person on your own. But YOU made it controversial by comparing a natural disaster to an actual war. You’re shameless

#TrumpCult"
2022-09-30 23:36:34+00:00,Mark_Himself_,"Some of you governments wanna make people forget about global warming? Just let @VIZMedia do the marketing the way they did with #BLEACH, soon no one will remember it.
#BLEACH_anime"
2022-09-30 23:35:33+00:00,GDixon1977,"@bjakd @AlboMP For me it's always been DIY. It's part of my daily practice to wear a mask, sanitise hands &amp; distance &amp; it will be lifelong as little is being done about the cause: global warming. So far I have avoided infection but will immediately take antivirals &amp; isolate if I do. Take care."
2022-09-30 23:35:27+00:00,Seventyfivemil,@mmpadellan Getting help because of a natural disaster is not socialism 🙄
2022-09-30 23:34:57+00:00,ElishaJ85733118,@MilenaAmit @RNCResearch She will determine that global warming is the cause of North Korea's problems
2022-09-30 23:34:34+00:00,mike_cervellino,@davidhogg111 Making a natural disaster political. Only took on hour!
2022-09-30 23:33:16+00:00,kfcaudell,"Boy, some people sure do get mad if you suggest communities of color might need a little extra help during a natural disaster."
2022-09-30 23:33:09+00:00,moon_tatsu,"Each country is an independent country, but let's help each other with global problems.
Medical engineering, Armed Forces, Energy, Global Warming"
2022-09-30 23:33:07+00:00,jvickers0331,"@mmpadellan Common sense. This happens every natural disaster. Grover Cleveland was the only president to say no after a hurricane because he saw it as paternalism. Also the first Democrat to serve after the Civil War, go figure."
2022-09-30 23:32:51+00:00,mantagtj,@JaggerAUS they aint pushing global warming cus there is no globe and they know we know........
2022-09-30 23:32:37+00:00,jvickers0331,"@POTUS Common sense. This happens every natural disaster. Grover Cleveland was the only president to say no after a hurricane because he saw it as paternalism. Also the first Democrat to serve after the Civil War, go figure."
2022-09-30 23:32:35+00:00,DumbRepublic,"@newswaseemzaidi @Rehan_Alam3 With global warming, as water disappears, food plummets and hunger prevails, these swords will kill other Hindus before they kill any Muslims.  India, instead of seeking solutions for the society is teaching violence and medievalism to its next generation. It cannot end well!"
2022-09-30 23:32:29+00:00,kfcaudell,"@LisaSea72888918 @TomFitton I'm not disagreeing with you, just pointing out that communities of color are often starting at a disadvantage before a natural disaster."
2022-09-30 23:32:28+00:00,Bperry25Perry,"@seanhannity Democrats and Liberals are excited when the US sends Billions to Ukraine, but upset at the thought of sending money for a Natural Disaster in the US."
2022-09-30 23:32:01+00:00,buccsxde,The world really gettin worse n idk if its global warming or us atp💯
2022-09-30 23:31:54+00:00,Techno_the_bot,you know we could fix global warming if we blew up the sun. globe would cool right off. just an idea. consider it.
2022-09-30 23:31:41+00:00,Joelbarros75,"@davidhogg111 The potential wealth that big government programs and subsidies deprived off its citizens YEARLY, would allow everyone struck by a natural disaster to be paid millions of $$ individually, the $$$ you paid for college didn’t teach you basic economics."
2022-09-30 23:31:11+00:00,TateinTexas,@ChristinaPushaw @VP I don’t know why they let Biden and Harris out of the basement.  They can’t put 2 truths together EVER and hate white people.  This is becoming very disturbing especially in a natural disaster.
2022-09-30 23:31:01+00:00,TonyKoia,@KyivIndependent I’ve long suspected that Russia is pro global warming. It fits everything about them and their patriots in MAGA
2022-09-30 23:30:57+00:00,CarolWillingh20,@bennyjohnson those that believe in the RELIGION OF GLOBAL WARMING and CLIMATE CHANGE are worshipping the CREATED instead of worshipping the CREATOR !
2022-09-30 23:30:44+00:00,PatriotMike15,"You no what's good about a natural disaster. Politics don't matter folks unite and help each other no matter race religion or political view. Exactly how God intended us to be! 
The good rises up out of tragity to shine through. 🙌🙌🙏🏻🙌"
2022-09-30 23:30:38+00:00,simplyEleijah,Serious problems + shit editing is making me laugh I can't but i know that global warming would be something serious but please don't fucking use goofy ahh fonts
2022-09-30 23:30:25+00:00,pissbouncer,@ghostlyminded my main thing is the financial aspect + getting all my shit from Alabama to Illinois 😅 idek how to look at apts up there???? are there areas that are worse??? where's least likely to be hit by natural disaster???? how is traffic?????
2022-09-30 23:30:09+00:00,TND,Are hurricanes getting stronger because of climate change and global warming? Data shows that hurricanes have intensified over the last 40 years. The Fact Check Team's @JanaeBowens and @CourtneyRauTV looked into what’s behind these worsening storms.
2022-09-30 23:28:44+00:00,DBH1124_,"@SenThomTillis Biden would never withhold federal aid to a state enduring a natural disaster. Especially not because it’s a majority-controlled state of his opposing party.

That’s something Trump would’ve done. 

You get no points, no credit, nothing."
2022-09-30 23:28:16+00:00,ECOTerminator,"I hate humans. Global warming is a real threat to our communities, to everybody, to everything. stoopid"
2022-09-30 23:28:09+00:00,CrucesLes,"@mmpadellan But you know, global warming is a myth!!!!"
2022-09-30 23:27:34+00:00,JackDun1685,"Hurricane Ian IS NOT the result of global warming, and NOT a reason to endorse or support climate control."
2022-09-30 23:25:23+00:00,GodWins888,"@EndWokeness #fake @vp @KamalaHarris thinks we w should distribute aid to people affected by indiscriminate natural disaster based on racists policies of #Diversity #Equity and #inclusion. #DEI
These policies exemplify racism."
2022-09-30 23:25:17+00:00,paul_smekens,"@GovRonDeSantis To late 
You DeSantis ignored global warming and climate change.
You didn't care just like trump and GOP
Look what you have done ....so deal with it"
2022-09-30 23:25:06+00:00,harrys_hiatus,He is trying to come up with a chorus about the dangers of global warming constantly
2022-09-30 23:25:05+00:00,DavidK_1976,"@EndWokeness Just shows what a natural disaster this administration is, when a VP says they will distribute funds based on the colour of your skin. How far the USA has gone 😣"
2022-09-30 23:24:15+00:00,jmikesmyth,"@ClimateHuman The Sun controls the climate, not some minor gas. Stop lying to us about that. The Global Warming Hoax collapsed in 1997 when the temperature stopped rising  while CO2 continue to rise. No significant correlation yet alone a cause."
2022-09-30 23:23:49+00:00,clairhooker,"@ksorbs Kevin, we have an entire national department that handles natural disaster relief.
Remember Brownie? and his job running FEMA? Back during Katrina? Ten years after you were relevant? Around 20 years after you pfp?"
2022-09-30 23:23:17+00:00,Dust_up224,"@red_redwitch Lol! You love playing with fire!
This is tantamount to taunting all the environmentalists and global warming terrorists all at once!
I recently made a positive comment on a Youtube video about a Bandit 4680 tree recycler just like your photo and was attacked by tree huggers. 😆"
2022-09-30 23:23:03+00:00,dennisrwhite1,"@DonaldJTrumpJr NO fraction of what was sent to Ukraine will go to Florida, Junior.  That money was already spent.  The Fed sends billions of dollars in relief to FL and other states every time a natural disaster hits.  You're just trying to grandstand for your fans who hate defending freedom."
2022-09-30 23:22:13+00:00,tg1972fa,@ScotGovFM @NicolaSturgeon Climate week .. another made up week.. they look happy tho so I’m guessing global warming is over?
2022-09-30 23:21:15+00:00,BebsDotter,@JackieKane We should not be forced into making a bad situation worse! We need a government that will help people to ameliorate the effects of global warming!
2022-09-30 23:21:12+00:00,ArturoH40955550,"@lavern_spicer Yes, the information colected shows it have been happening since a hundreed years ago and is accelerating. Yes, tropical storms have been happening since forever but as global warming increases the spectrum of temperatures registered it also affect the violence of climate events."
2022-09-30 23:20:55+00:00,paul_smekens,"@TheLeadCNN @BillWeirCNN Stop complaining 
Trump and GOP and DeSantis didn't care or believed in GLOBAL warming or climate change.
So deal with it"
2022-09-30 23:20:04+00:00,BillBoomxer,"@RandalBaskin @ShelKel2 @MarshaBlackburn There is now and always been has been snow and ice so there’s obviously no global warming.
Got it."
2022-09-30 23:19:02+00:00,ForgeRiver,@RobertPRowley2 @Yahoo There’s millions in federal $$$ that can be syphoned off to pro @RonDeSantisFL contractors; it’s a bonanza #Trump #MAGA @GOP style. Nothing is better than a natural disaster.  #HurricaneIan #Hurricane 🌀 #Ian #Florida
